Departure,Arrival,Age,Gender,TravelClass,Q1,Q2,Q3,Q4
AUH,DOH,25,M,Economy,1,7,4,3
AUH,BAH,38,M,Economy,3,1,2,1
AUH,BAH,65,F,Economy,2,4,4,2
AUH,BAH,58,F,Business,1,2,4,2
AUH,RUH,34,F,Economy,3,4,4,6
AUH,BAH,38,M,Economy,1,4,6,3
AUH,CAI,25,M,Economy,1,1,4,3
AUH,DOH,50,M,First,5,7,4,2
AUH,BAH,64,F,Economy,3,3,1,3
AUH,CAI,21,F,Economy,0,1,4,3
AUH,RUH,57,M,Economy,3,4,4,7
AUH,BAH,47,M,Economy,0,1,4,2
AUH,BAH,45,M,Economy,3,4,4,4
AUH,BAH,59,M,Economy,5,2,4,2
AUH,RUH,38,M,Economy,1,4,6,1
AUH,CAI,34,F,Economy,1,1,6,3
AUH,CAI,33,F,Economy,1,4,6,2
AUH,BAH,18,F,Economy,3,4,2,7
AUH,CAI,68,F,Economy,1,1,1,2
AUH,BAH,36,M,Economy,6,0,4,3
AUH,BAH,42,F,Economy,2,2,2,3
AUH,RUH,55,M,Economy,3,2,1,3
AUH,RUH,57,M,Economy,3,4,6,4
AUH,BAH,19,M,Economy,4,3,6,5
AUH,BAH,31,F,Economy,4,1,1,3
AUH,BAH,51,F,Economy,3,2,4,1
AUH,RUH,50,F,Economy,5,3,1,1
AUH,BAH,61,F,Business,3,2,2,3
AUH,BAH,49,M,Economy,1,1,2,2
AUH,CAI,23,F,Economy,3,7,2,0
AUH,DOH,43,F,Economy,1,5,4,3
AUH,CAI,23,F,Economy,1,6,6,2
AUH,BAH,67,M,Business,0,2,0,3
AUH,BAH,49,F,Economy,3,2,6,2
AUH,BAH,24,M,Economy,4,4,2,3
AUH,BAH,61,F,Economy,3,4,6,1
AUH,BAH,63,M,Economy,2,4,6,3
AUH,CAI,20,M,Economy,3,4,2,3
AUH,BAH,66,F,Economy,3,2,1,2
AUH,BAH,35,M,Business,5,3,6,1
AUH,CAI,34,F,Economy,3,2,4,5
AUH,DOH,65,F,Economy,0,4,2,3
AUH,DOH,35,M,Economy,1,3,4,3
AUH,BAH,41,F,Economy,4,3,6,6
AUH,BAH,25,M,Economy,7,2,1,2
AUH,BAH,56,F,Economy,2,5,4,3
AUH,BAH,56,M,Economy,1,2,4,3
AUH,BAH,38,M,Economy,3,2,3,3
AUH,BAH,49,M,Economy,0,5,0,1
AUH,BAH,25,M,Economy,0,4,4,1
AUH,CAI,55,M,Economy,3,4,6,2
AUH,BAH,18,F,Economy,1,2,3,3
AUH,BAH,42,F,Economy,3,6,1,3
AUH,BAH,29,M,Economy,5,5,1,3
AUH,RUH,47,M,Economy,4,5,4,3
AUH,BAH,23,F,Economy,1,2,0,6
AUH,BAH,34,M,Economy,0,3,2,3
AUH,CAI,62,F,Economy,1,1,2,3
AUH,CAI,69,F,Economy,1,2,6,3
AUH,BAH,53,M,Economy,0,2,6,3
AUH,BAH,61,M,Economy,5,2,2,3
AUH,BAH,33,F,Economy,1,4,1,3
AUH,BAH,57,F,Economy,5,2,1,0
AUH,DOH,25,M,First,1,2,3,6
AUH,BAH,34,F,Economy,3,3,1,3
AUH,DOH,52,F,Economy,2,3,2,3
AUH,CAI,27,F,Economy,2,2,4,3
AUH,BAH,49,F,Economy,3,7,4,3
AUH,CAI,44,F,First,5,2,2,7
AUH,BAH,66,F,Economy,0,5,6,3
AUH,CAI,45,F,Economy,3,2,7,3
AUH,CAI,62,M,First,1,4,2,3
AUH,RUH,55,F,Economy,3,6,2,3
AUH,CAI,53,F,Economy,1,3,6,3
AUH,BAH,25,F,Economy,2,1,2,3
AUH,DOH,58,F,Economy,3,7,2,5
AUH,BAH,40,F,Economy,1,2,3,3
AUH,CAI,45,M,Economy,1,4,4,3
AUH,CAI,59,M,Economy,6,7,6,3
AUH,CAI,27,F,Economy,2,4,0,0
AUH,CAI,52,M,Economy,0,4,2,5
AUH,CAI,36,F,Economy,1,1,1,1
AUH,BAH,46,M,Business,7,1,7,3
AUH,CAI,52,F,Economy,3,1,6,0
AUH,BAH,41,F,Economy,5,2,0,3
AUH,BAH,40,F,Economy,1,7,1,3
AUH,DOH,28,F,Economy,1,4,0,1
AUH,BAH,60,F,Economy,5,3,6,2
AUH,BAH,69,F,Economy,0,4,3,1
AUH,CAI,53,F,Economy,3,4,2,3
AUH,CAI,68,F,Economy,5,7,1,1
AUH,RUH,29,M,Economy,1,3,4,3
AUH,DOH,29,M,Economy,2,7,1,3
AUH,DOH,23,F,Economy,5,4,2,3
AUH,BAH,26,M,Economy,3,3,4,5
AUH,RUH,63,F,Economy,0,1,6,7
AUH,CAI,58,M,Economy,2,2,6,3
AUH,DOH,56,F,First,0,5,6,2
AUH,DOH,41,M,Economy,3,4,1,3
AUH,BAH,57,F,Economy,3,4,6,4
AUH,DOH,43,F,Economy,1,4,1,1
AUH,CAI,51,M,First,1,2,1,3
AUH,CAI,39,M,Economy,2,1,1,2
AUH,BAH,44,F,Economy,2,2,2,1
AUH,CAI,45,M,Economy,1,5,6,3
AUH,BAH,54,M,Economy,1,4,1,3
AUH,CAI,63,F,Economy,3,7,1,3
AUH,RUH,55,M,Economy,3,1,4,1
AUH,CAI,42,M,Economy,0,7,2,3
AUH,BAH,46,F,Business,4,3,4,3
AUH,DOH,37,M,Economy,3,0,0,3
AUH,CAI,52,M,Economy,6,2,1,1
AUH,BAH,19,M,Economy,1,2,5,2
AUH,CAI,64,M,Economy,6,3,6,7
AUH,CAI,37,F,Economy,1,3,4,3
AUH,CAI,59,F,First,1,7,2,7
AUH,BAH,28,F,Economy,1,4,3,3
AUH,RUH,40,M,Economy,6,4,3,3
AUH,BAH,61,M,Business,6,6,4,2
AUH,RUH,29,M,First,1,5,4,3
AUH,RUH,54,F,Economy,1,1,4,2
AUH,RUH,32,M,Economy,2,2,1,3
AUH,BAH,68,F,Economy,4,6,4,0
AUH,BAH,63,M,Economy,5,7,1,3
AUH,CAI,55,M,Economy,3,2,2,2
AUH,DOH,55,M,Economy,0,3,6,3
AUH,BAH,25,M,Business,3,3,6,0
AUH,BAH,31,F,Economy,6,4,2,3
AUH,BAH,18,F,Economy,0,6,1,7
AUH,CAI,43,F,First,1,1,1,3
AUH,DOH,46,F,First,2,2,4,6
AUH,DOH,47,F,Economy,3,7,6,3
AUH,CAI,25,M,Economy,1,4,2,0
AUH,CAI,53,M,Economy,6,5,0,5
AUH,CAI,46,F,Economy,1,7,1,3
AUH,DOH,42,M,Economy,2,3,1,3
AUH,BAH,42,M,Business,2,2,1,7
AUH,CAI,26,F,Economy,5,2,6,4
AUH,CAI,24,M,Economy,1,3,5,2
AUH,RUH,50,M,Economy,2,1,1,3
AUH,RUH,36,M,Economy,1,7,4,7
AUH,CAI,20,F,Economy,1,4,1,7
AUH,CAI,28,F,Economy,1,4,1,3
AUH,BAH,38,F,Economy,1,4,1,5
AUH,DOH,34,M,Economy,3,1,1,3
AUH,BAH,26,F,First,3,2,6,3
AUH,BAH,64,F,Economy,5,3,1,1
AUH,CAI,54,F,Economy,1,3,2,1
AUH,CAI,38,M,Economy,2,7,1,3
AUH,CAI,50,F,Economy,1,4,2,4
AUH,BAH,36,F,Economy,3,2,4,2
AUH,CAI,30,M,Economy,3,7,4,3
AUH,DOH,22,F,Economy,7,4,6,3
AUH,CAI,27,F,Economy,0,2,1,1
AUH,DOH,55,F,Economy,3,4,1,3
AUH,BAH,58,F,Economy,2,0,1,3
AUH,BAH,51,M,Economy,2,1,4,3
AUH,CAI,27,F,Economy,6,3,1,6
AUH,BAH,19,M,Economy,2,2,1,2
AUH,BAH,58,F,Economy,7,6,1,7
AUH,BAH,64,M,Economy,2,7,0,1
AUH,BAH,27,F,Economy,3,1,4,3
AUH,CAI,37,F,Economy,5,1,7,2
AUH,BAH,19,M,Economy,1,3,4,3
AUH,DOH,54,F,Economy,3,2,3,1
AUH,BAH,23,F,Economy,3,4,5,1
AUH,BAH,56,F,Economy,3,2,7,3
AUH,RUH,68,M,First,1,4,1,2
AUH,CAI,61,M,Economy,3,7,1,3
AUH,CAI,69,M,Business,1,3,5,3
AUH,RUH,42,M,Business,2,4,1,3
AUH,BAH,29,M,Economy,1,4,6,2
AUH,CAI,23,F,Economy,6,1,4,3
AUH,RUH,51,M,First,1,3,2,5
AUH,RUH,54,F,First,2,2,4,2
AUH,BAH,39,F,Economy,1,4,2,1
AUH,BAH,58,F,Economy,2,5,4,3
AUH,BAH,27,M,First,6,2,6,2
AUH,CAI,28,M,Economy,1,2,5,2
AUH,CAI,51,M,Economy,3,4,2,2
AUH,CAI,19,M,First,2,5,4,1
AUH,BAH,58,F,Economy,2,2,6,1
AUH,CAI,50,M,Economy,3,1,2,3
AUH,BAH,32,M,Economy,4,2,1,1
AUH,DOH,59,F,Business,6,0,1,3
AUH,DOH,67,M,First,3,7,1,3
AUH,BAH,55,M,Economy,5,7,4,0
AUH,BAH,63,M,Economy,3,7,4,0
AUH,DOH,59,M,Economy,1,2,6,1
AUH,RUH,56,F,Economy,5,2,0,4
AUH,DOH,64,M,Economy,3,1,0,5
AUH,BAH,55,M,Economy,5,7,0,3
AUH,CAI,18,F,Economy,1,4,2,7
AUH,CAI,55,M,First,7,2,1,3
AUH,BAH,61,F,Economy,0,1,6,5
AUH,BAH,51,M,Economy,1,2,6,3
AUH,BAH,25,F,Economy,3,4,5,3
AUH,BAH,66,M,Economy,7,2,1,3
AUH,BAH,30,M,Economy,2,7,5,3
AUH,DOH,67,M,Economy,2,3,4,3
AUH,BAH,52,M,Economy,5,5,1,1
AUH,BAH,40,F,Economy,3,4,2,2
AUH,BAH,58,M,Economy,3,7,6,0
AUH,RUH,42,M,Economy,3,4,0,1
AUH,BAH,66,F,Economy,1,2,1,2
AUH,CAI,48,F,Economy,0,2,4,1
AUH,BAH,69,M,Economy,3,2,6,3
AUH,CAI,43,M,Economy,0,4,4,3
AUH,DOH,29,M,Economy,5,2,6,2
AUH,DOH,49,M,Economy,5,4,2,2
AUH,CAI,22,M,Economy,6,1,2,2
AUH,CAI,36,F,Economy,5,1,2,1
AUH,BAH,23,F,Economy,3,4,4,3
AUH,CAI,24,M,Economy,1,2,1,1
AUH,CAI,45,F,Economy,3,2,6,2
AUH,BAH,65,M,Economy,5,0,1,3
AUH,BAH,55,F,Economy,1,4,6,1
AUH,DOH,35,M,Economy,7,7,2,2
AUH,BAH,21,M,Economy,1,3,3,0
AUH,DOH,31,M,Economy,1,2,1,4
AUH,DOH,40,F,Economy,3,2,3,1
AUH,BAH,57,M,Economy,3,2,0,3
AUH,RUH,46,F,Economy,5,3,1,3
AUH,CAI,39,M,Business,0,3,1,3
AUH,RUH,58,F,Economy,2,1,2,1
AUH,DOH,55,F,Economy,2,4,2,1
AUH,CAI,43,F,Economy,3,2,2,6
AUH,CAI,27,M,Economy,5,5,4,7
AUH,BAH,34,F,Economy,3,1,2,3
AUH,CAI,62,M,Economy,2,4,4,3
AUH,BAH,22,M,Economy,2,2,1,2
AUH,DOH,48,F,Economy,3,4,2,0
AUH,BAH,18,M,Economy,3,1,1,1
AUH,CAI,56,M,Economy,1,6,4,4
AUH,DOH,59,M,Economy,3,2,1,5
AUH,CAI,43,M,Economy,5,5,2,5
AUH,BAH,54,F,Economy,2,0,2,3
AUH,CAI,48,M,Economy,7,2,1,3
AUH,BAH,67,F,First,1,2,2,5
AUH,CAI,28,M,First,5,4,6,0
AUH,CAI,27,M,Economy,2,4,0,2
AUH,BAH,66,M,First,2,7,4,3
AUH,BAH,59,M,Economy,3,2,1,3
AUH,CAI,39,M,Economy,3,3,4,3
AUH,DOH,51,F,Economy,2,4,4,3
AUH,CAI,57,F,Economy,1,4,2,1
AUH,RUH,30,F,Economy,2,1,6,3
AUH,CAI,22,M,Economy,0,4,6,3
AUH,RUH,30,M,Economy,6,4,1,3
AUH,BAH,38,F,First,3,5,2,3
AUH,BAH,53,F,Economy,0,6,1,3
AUH,RUH,66,M,Economy,1,3,4,3
AUH,BAH,38,M,Business,5,1,4,3
AUH,CAI,25,M,Economy,0,3,1,3
AUH,BAH,56,F,First,4,2,0,4
AUH,BAH,65,M,Economy,1,2,6,3
AUH,BAH,47,F,Economy,5,4,1,1
AUH,BAH,39,M,Economy,5,6,1,0
AUH,BAH,58,M,Economy,7,2,1,7
AUH,CAI,61,F,Economy,1,5,2,2
AUH,CAI,21,M,Economy,7,3,2,7
AUH,BAH,48,M,Economy,3,6,4,3
AUH,BAH,23,F,Economy,5,3,1,1
AUH,BAH,40,M,Economy,1,5,1,3
AUH,BAH,55,F,Economy,2,2,6,2
AUH,CAI,29,M,Economy,2,2,2,3
AUH,BAH,36,M,Economy,1,2,4,3
AUH,RUH,39,F,Business,1,7,1,3
AUH,BAH,19,M,Economy,4,2,5,3
AUH,DOH,60,M,Economy,4,5,4,5
AUH,CAI,41,M,Economy,6,7,0,2
AUH,BAH,29,M,Economy,1,2,3,2
AUH,CAI,46,F,Economy,0,6,2,1
AUH,BAH,68,F,Economy,3,7,4,5
AUH,BAH,68,F,Economy,1,5,5,7
AUH,DOH,35,F,Economy,3,5,4,3
AUH,RUH,19,M,Economy,5,4,1,5
AUH,CAI,68,F,Economy,5,1,0,3
AUH,CAI,39,M,Economy,3,4,4,1
AUH,RUH,34,M,Economy,3,6,2,2
AUH,BAH,55,M,Economy,1,2,4,3
AUH,CAI,56,M,Economy,1,5,2,3
AUH,DOH,68,F,Economy,1,4,6,3
AUH,CAI,33,M,Economy,2,3,1,3
AUH,BAH,20,M,Economy,6,4,6,7
AUH,CAI,26,M,Economy,1,4,1,1
AUH,BAH,35,M,First,2,5,2,2
AUH,CAI,42,M,Economy,1,1,5,3
AUH,DOH,27,F,Business,2,7,6,1
AUH,BAH,22,M,Economy,1,2,4,3
AUH,BAH,56,F,Economy,2,0,1,1
AUH,CAI,48,M,Economy,1,4,2,3
AUH,RUH,37,M,Economy,6,2,1,3
AUH,BAH,52,M,Economy,1,7,5,2
AUH,BAH,42,M,Economy,1,2,2,7
AUH,DOH,33,F,Economy,5,1,2,2
AUH,BAH,44,M,Economy,0,7,4,3
AUH,BAH,21,F,Economy,1,6,0,3
AUH,CAI,63,M,First,1,2,6,3
AUH,CAI,63,M,Economy,5,2,1,3
AUH,BAH,33,M,Economy,3,7,1,5
AUH,DOH,20,F,Economy,3,7,0,0
AUH,DOH,65,F,Economy,3,7,6,1
AUH,CAI,46,M,Economy,6,3,2,0
AUH,BAH,41,F,First,1,4,6,3
AUH,BAH,23,M,First,3,5,7,2
AUH,BAH,32,F,Economy,1,3,1,3
AUH,RUH,55,F,Economy,1,6,6,3
AUH,RUH,23,F,Economy,3,4,0,7
AUH,BAH,42,M,Economy,1,7,2,1
AUH,CAI,66,F,Economy,3,2,1,3
AUH,BAH,42,F,Business,2,4,3,2
AUH,BAH,57,F,Economy,4,1,1,2
AUH,BAH,67,F,Economy,3,7,4,3
AUH,BAH,34,F,Economy,2,2,0,3
AUH,DOH,30,F,Business,2,2,0,3
AUH,CAI,28,M,Economy,1,4,4,6
AUH,RUH,21,M,Economy,7,3,2,0
AUH,BAH,22,M,Economy,2,0,4,3
AUH,DOH,33,F,Economy,1,4,4,5
AUH,BAH,37,M,Economy,5,7,4,3
AUH,CAI,48,F,First,7,1,4,6
AUH,DOH,32,M,Economy,3,4,1,1
AUH,DOH,24,M,Economy,1,2,2,2
AUH,CAI,24,M,First,1,2,1,3
AUH,DOH,36,M,Economy,5,4,0,3
AUH,DOH,42,M,Economy,3,2,6,2
AUH,DOH,31,F,Economy,7,4,3,2
AUH,CAI,29,F,Economy,3,3,0,3
AUH,RUH,65,M,First,0,4,2,3
AUH,CAI,62,M,First,1,5,2,3
AUH,RUH,58,F,Economy,4,4,4,3
AUH,BAH,44,F,Economy,5,3,1,7
AUH,BAH,62,F,Economy,2,4,1,3
AUH,CAI,44,M,Economy,7,4,4,3
AUH,CAI,49,F,Economy,3,1,4,3
AUH,BAH,25,M,Economy,1,1,6,3
AUH,BAH,53,M,Business,1,1,6,2
AUH,CAI,46,F,Economy,1,7,4,5
AUH,CAI,31,M,Economy,5,3,6,2
AUH,DOH,55,F,Economy,2,4,1,1
AUH,BAH,54,M,Economy,2,3,6,6
AUH,BAH,29,F,Economy,5,7,1,5
AUH,DOH,25,F,First,3,2,4,2
AUH,BAH,50,M,Economy,1,0,2,6
AUH,DOH,47,M,Economy,3,7,1,2
AUH,BAH,34,F,Economy,1,1,6,3
AUH,BAH,44,M,Economy,2,2,4,2
AUH,DOH,38,F,Economy,3,2,1,0
AUH,RUH,61,F,Economy,7,4,2,3
AUH,BAH,24,M,Economy,3,2,0,2
AUH,CAI,23,M,Economy,1,2,1,3
AUH,DOH,61,M,Economy,7,4,0,3
AUH,BAH,22,F,Economy,0,4,6,3
AUH,CAI,43,M,Economy,3,4,1,4
AUH,CAI,25,F,Economy,1,4,0,3
AUH,BAH,62,M,Economy,3,2,4,3
AUH,BAH,68,M,Economy,1,2,2,6
AUH,DOH,28,M,Economy,7,7,1,1
AUH,CAI,65,F,Economy,1,1,2,1
AUH,CAI,55,F,Economy,2,2,2,3
AUH,DOH,45,M,Economy,3,2,2,1
AUH,BAH,62,F,Economy,3,2,0,3
AUH,BAH,68,M,Economy,1,4,5,3
AUH,BAH,57,M,Business,0,4,2,1
AUH,BAH,60,F,Economy,5,4,1,1
AUH,CAI,39,M,Economy,3,2,1,4
AUH,BAH,48,F,Economy,1,4,4,5
AUH,DOH,19,F,Economy,3,1,4,3
AUH,DOH,45,M,Economy,2,2,4,3
AUH,BAH,28,F,Economy,1,7,0,1
AUH,CAI,45,F,Economy,5,4,2,1
AUH,CAI,36,M,Economy,2,2,2,6
AUH,RUH,29,F,Economy,1,6,1,3
AUH,RUH,60,M,Economy,3,2,2,3
AUH,CAI,58,M,Economy,6,2,0,3
AUH,DOH,64,M,Economy,3,7,2,3
AUH,CAI,25,F,Economy,1,4,6,3
AUH,DOH,61,M,Economy,4,0,6,1
AUH,CAI,37,F,Economy,3,2,6,3
AUH,BAH,38,M,Economy,3,4,4,5
AUH,RUH,66,M,Economy,2,2,4,3
AUH,DOH,49,F,Economy,4,5,6,6
AUH,DOH,35,M,Economy,7,1,4,3
AUH,CAI,69,M,Economy,2,7,4,1
AUH,BAH,38,F,Economy,0,7,1,3
AUH,CAI,46,M,Economy,0,2,2,3
AUH,BAH,51,F,Economy,1,6,6,4
AUH,CAI,35,F,Economy,2,7,1,7
AUH,CAI,43,M,Economy,3,3,7,2
AUH,BAH,50,M,Economy,5,2,6,3
AUH,DOH,51,F,Economy,1,7,3,3
AUH,BAH,30,M,First,1,2,2,4
AUH,BAH,25,F,Economy,5,4,2,3
AUH,BAH,29,M,Economy,5,1,2,6
AUH,DOH,24,F,Economy,3,2,2,3
AUH,BAH,40,M,Economy,1,2,2,2
AUH,BAH,61,F,Economy,1,2,1,3
AUH,BAH,44,M,Economy,1,7,1,7
AUH,BAH,45,F,First,3,4,3,0
AUH,BAH,57,F,Economy,3,4,6,5
AUH,BAH,23,M,Economy,2,3,6,3
DOH,AUH,55,M,Economy,2,4,4,5
BAH,AUH,45,M,Economy,0,3,1,3
RUH,AUH,56,M,Economy,3,0,6,3
DOH,AUH,62,M,First,3,6,1,5
BAH,AUH,19,M,Economy,3,7,4,3
BAH,AUH,51,F,Economy,1,1,7,3
DOH,AUH,64,F,Economy,2,4,1,3
CAI,AUH,41,M,Economy,0,5,0,6
BAH,AUH,24,F,First,3,3,1,3
RUH,AUH,52,F,Economy,0,4,2,3
BAH,AUH,59,M,Economy,0,5,4,1
BAH,AUH,18,M,Economy,2,2,2,3
RUH,AUH,39,M,Economy,5,4,0,3
RUH,AUH,38,M,First,3,4,1,4
BAH,AUH,46,M,Economy,5,4,1,3
BAH,AUH,29,F,Economy,3,1,3,1
CAI,AUH,25,F,Economy,0,1,4,3
CAI,AUH,65,F,Economy,0,2,1,3
CAI,AUH,30,F,Economy,3,2,4,1
RUH,AUH,55,M,Economy,0,1,2,3
BAH,AUH,43,M,Economy,2,3,0,3
CAI,AUH,45,M,Business,5,2,2,7
BAH,AUH,26,M,Economy,3,2,4,2
DOH,AUH,28,M,Economy,1,3,1,3
DOH,AUH,22,F,Economy,5,4,0,7
BAH,AUH,51,F,Economy,3,2,2,7
CAI,AUH,37,M,Economy,1,4,2,5
DOH,AUH,69,M,Economy,5,2,1,1
CAI,AUH,30,F,Economy,1,2,2,1
BAH,AUH,21,F,Economy,1,3,6,3
BAH,AUH,50,M,Economy,5,4,3,3
RUH,AUH,39,F,Economy,3,3,6,0
BAH,AUH,68,M,Economy,5,3,6,3
CAI,AUH,24,M,Economy,3,2,2,0
BAH,AUH,63,F,Economy,1,2,0,7
BAH,AUH,59,M,Economy,1,4,7,1
BAH,AUH,69,F,Economy,5,6,2,2
DOH,AUH,58,M,Economy,2,4,3,0
CAI,AUH,31,F,Economy,6,5,4,7
DOH,AUH,48,F,Economy,1,3,4,3
CAI,AUH,55,F,Economy,3,4,5,3
BAH,AUH,18,F,Economy,3,3,0,3
BAH,AUH,53,M,Economy,3,4,0,1
BAH,AUH,39,M,Economy,3,4,7,3
CAI,AUH,51,M,Economy,1,6,6,1
BAH,AUH,36,M,Economy,0,3,6,1
BAH,AUH,41,M,First,3,4,4,1
CAI,AUH,38,M,Economy,6,4,2,3
BAH,AUH,65,F,Economy,1,7,2,3
BAH,AUH,43,M,Economy,1,1,2,0
CAI,AUH,59,M,Economy,3,7,2,7
CAI,AUH,47,M,Economy,2,3,2,3
BAH,AUH,42,F,First,7,2,2,3
CAI,AUH,57,F,First,5,2,2,3
BAH,AUH,44,M,First,3,3,1,2
DOH,AUH,24,F,Economy,5,6,6,3
BAH,AUH,52,F,Economy,5,2,1,3
CAI,AUH,59,M,Economy,3,7,1,1
BAH,AUH,55,M,Economy,7,2,6,2
BAH,AUH,27,M,Economy,1,2,1,7
BAH,AUH,52,M,Economy,3,4,4,7
BAH,AUH,67,F,Economy,3,3,7,3
DOH,AUH,54,M,Economy,3,7,1,5
BAH,AUH,60,F,Economy,2,7,2,1
BAH,AUH,31,M,Business,2,7,6,7
BAH,AUH,56,M,Economy,6,4,2,3
CAI,AUH,43,F,Economy,3,2,1,3
CAI,AUH,66,F,Economy,2,1,1,1
BAH,AUH,47,F,Economy,1,7,4,1
RUH,AUH,54,M,Economy,1,2,6,1
BAH,AUH,30,F,Economy,1,7,1,3
BAH,AUH,56,F,Economy,3,2,4,3
RUH,AUH,33,M,Economy,5,2,1,3
DOH,AUH,69,F,Economy,1,2,2,5
DOH,AUH,61,M,Economy,3,2,2,3
DOH,AUH,67,M,Economy,3,3,4,3
BAH,AUH,53,F,Business,5,0,2,3
RUH,AUH,51,M,Economy,3,5,5,3
CAI,AUH,64,F,Business,1,7,4,6
CAI,AUH,68,M,Economy,3,3,2,2
BAH,AUH,24,F,Economy,3,2,1,2
BAH,AUH,65,M,Economy,2,4,1,1
DOH,AUH,52,M,Economy,5,4,6,0
CAI,AUH,52,F,Business,5,2,6,3
BAH,AUH,51,M,Economy,3,4,1,3
DOH,AUH,39,F,Economy,7,7,6,3
BAH,AUH,57,F,Business,3,6,1,3
DOH,AUH,18,M,Economy,1,3,4,3
BAH,AUH,19,M,First,2,7,1,7
DOH,AUH,32,M,Economy,2,4,4,1
BAH,AUH,68,M,First,3,3,1,3
BAH,AUH,28,F,Economy,1,4,2,3
RUH,AUH,35,F,Economy,3,7,1,2
CAI,AUH,61,M,Economy,2,2,4,3
CAI,AUH,32,F,Economy,3,5,1,3
DOH,AUH,59,M,Economy,5,4,2,3
CAI,AUH,26,M,Economy,5,5,6,7
BAH,AUH,59,F,Economy,2,4,1,3
DOH,AUH,37,M,Economy,1,1,6,3
RUH,AUH,18,F,Economy,3,4,6,3
DOH,AUH,39,M,Economy,1,3,4,2
BAH,AUH,33,M,Economy,2,1,1,2
BAH,AUH,34,M,Economy,2,4,1,3
BAH,AUH,36,F,First,1,0,1,3
DOH,AUH,69,F,Economy,3,2,5,3
CAI,AUH,56,F,Economy,1,3,1,3
BAH,AUH,60,F,Economy,0,7,2,1
BAH,AUH,36,M,Economy,1,2,3,3
CAI,AUH,46,M,Economy,3,7,2,1
RUH,AUH,37,M,Economy,6,1,4,2
BAH,AUH,55,M,Economy,3,2,2,3
BAH,AUH,65,F,Economy,1,5,3,3
RUH,AUH,26,M,Economy,1,2,4,3
RUH,AUH,22,M,Business,3,2,6,7
BAH,AUH,32,M,Economy,1,6,4,2
CAI,AUH,57,F,Economy,1,6,2,2
RUH,AUH,41,F,Economy,5,2,2,6
CAI,AUH,30,F,Economy,1,3,1,6
DOH,AUH,34,M,Economy,1,4,1,3
CAI,AUH,31,M,Economy,5,2,6,3
BAH,AUH,25,F,Economy,5,2,4,2
BAH,AUH,24,F,Business,3,7,0,3
CAI,AUH,65,F,Economy,1,2,7,4
BAH,AUH,49,M,Economy,5,3,6,3
BAH,AUH,61,M,Economy,6,1,1,7
BAH,AUH,20,F,Business,7,2,1,1
BAH,AUH,36,M,Economy,1,7,2,3
BAH,AUH,29,M,Economy,3,4,4,3
BAH,AUH,63,M,Economy,1,4,3,1
DOH,AUH,63,M,Economy,3,4,6,1
BAH,AUH,39,M,Economy,3,4,1,3
BAH,AUH,63,F,Business,1,4,1,3
CAI,AUH,22,M,Economy,0,2,2,0
BAH,AUH,34,M,Economy,1,2,0,0
BAH,AUH,43,F,Economy,2,1,0,3
BAH,AUH,36,F,First,3,3,4,4
